key,method,problem,status,enc_time,total_solve_time,vars,cls,lits
1784,SavileRow (GPW),./experiments/mbkp-control/lps/2/3_19.lp,Sat,3.5000486,1.9335433,111555,395777,1001971
1784,SavileRow (GPW),./experiments/mbssp-control/lps/2/079.lp,Sat,1.082387,4.8670797,8462,30992,79176
1786,SavileRow (GMTO),./experiments/mbkp-control/lps/2/3_19.lp,Sat,5.8330326,5.5117292,62965,234458,637897
1786,SavileRow (GMTO),./experiments/mbssp-control/lps/2/079.lp,Sat,1.2363225,39.280464,5064,17660,47779
1787,Fun-sCOP (),./experiments/mbssp-control/lps/2/079.lp,Sat,4.0394015,27.46778,143207,402407,1180207
1787,Fun-sCOP (),./experiments/mbkp-control/lps/2/3_19.lp,Sat,59.01034,9.171961,5624466,15681493,45608701
1790,Picat-SAT,./experiments/mbssp-control/lps/2/079.lp,Sat,0.5695982,0.26664972,1531,12682,57374
1790,Picat-SAT,./experiments/mbkp-control/lps/2/3_19.lp,Sat,1.6495044,11.788075,41643,359447,1658611
1791,SavileRow (GT),./experiments/mbkp-control/lps/2/4_19.lp,Timeout,,,,,
1791,SavileRow (GT),./experiments/mbssp-control/lps/2/080.lp,Unknown,18.465858,,63721,14434108,43272658
1792,SavileRow (SWC),./experiments/mbkp-control/lps/2/4_19.lp,Memory,,,,,
1792,SavileRow (SWC),./experiments/mbssp-control/lps/2/080.lp,Unknown,2.515276,,249586,2537204,7136696
1793,SavileRow (BDD),./experiments/mbssp-control/lps/2/080.lp,Unknown,2.4776998,,71753,694085,1935158
1793,SavileRow (BDD),./experiments/mbkp-control/lps/2/4_19.lp,Unknown,23.260649,,2080315,19716397,55172705
1794,SavileRow (GPW),./experiments/mbkp-control/lps/2/4_19.lp,Sat,3.2283182,0.8455991,110981,392568,993441
1794,SavileRow (GPW),./experiments/mbssp-control/lps/2/080.lp,Sat,1.1013848,14.686358,8033,28973,73806
1796,SavileRow (GMTO),./experiments/mbssp-control/lps/2/080.lp,Unknown,1.2283887,,5029,16917,45515
1796,SavileRow (GMTO),./experiments/mbkp-control/lps/2/4_19.lp,Sat,5.6897135,4.6231318,63030,233937,635366
1797,Fun-sCOP (),./experiments/mbkp-control/lps/2/4_19.lp,Sat,56.362675,8.826129,5636292,15724855,45741537
1797,Fun-sCOP (),./experiments/mbssp-control/lps/2/080.lp,Unknown,4.0514746,,147583,415121,1217933
1800,Picat-SAT,./experiments/mbssp-control/lps/2/080.lp,Sat,0.6786853,2.3338187,1556,12588,56072
1800,Picat-SAT,./experiments/mbkp-control/lps/2/4_19.lp,Sat,1.6200693,10.302895,41836,359777,1658622
1801,SavileRow (GT),./experiments/mbkp-control/lps/2/1_20.lp,Timeout,,,,,
1801,SavileRow (GT),./experiments/mbssp-control/lps/2/081.lp,Unknown,24.18471,,67240,15876878,47599098
1802,SavileRow (SWC),./experiments/mbssp-control/lps/2/081.lp,Unknown,2.8935833,,266416,2704514,7608146
1802,SavileRow (SWC),./experiments/mbkp-control/lps/2/1_20.lp,Memory,,,,,
1803,SavileRow (BDD),./experiments/mbssp-control/lps/2/081.lp,Unknown,2.6823988,,75691,736081,2056365
1803,SavileRow (BDD),./experiments/mbkp-control/lps/2/1_20.lp,Sat,23.43919,2.878522,2021999,19127457,53586011
1804,SavileRow (GPW),./experiments/mbkp-control/lps/2/1_20.lp,Sat,3.461041,1.8443258,111137,393553,996321
1804,SavileRow (GPW),./experiments/mbssp-control/lps/2/081.lp,Unknown,1.0692443,,8846,32659,83675
1806,SavileRow (GMTO),./experiments/mbkp-control/lps/2/1_20.lp,Sat,5.8750253,4.5175886,62980,233536,634905
1806,SavileRow (GMTO),./experiments/mbssp-control/lps/2/081.lp,Unknown,1.1679633,,5180,18405,49740
1807,Fun-sCOP (),./experiments/mbssp-control/lps/2/081.lp,Unknown,3.970406,,161744,455746,1337950
1807,Fun-sCOP (),./experiments/mbkp-control/lps/2/1_20.lp,Sat,61.480984,7.918035,5798743,16180336,47087567
1810,Picat-SAT,./experiments/mbssp-control/lps/2/081.lp,Sat,0.6612336,2.3679454,1547,13561,62801
1810,Picat-SAT,./experiments/mbkp-control/lps/2/1_20.lp,Sat,1.5678916,7.9822717,41476,357007,1648276
1811,SavileRow (GT),./experiments/mbkp-control/lps/2/2_20.lp,Timeout,,,,,
1811,SavileRow (GT),./experiments/mbssp-control/lps/2/082.lp,Unknown,16.5073,,60623,12046200,36109762
1812,SavileRow (SWC),./experiments/mbkp-control/lps/2/2_20.lp,Memory,,,,,
1812,SavileRow (SWC),./experiments/mbssp-control/lps/2/082.lp,Unknown,2.518035,,248156,2523344,7099716
1813,SavileRow (BDD),./experiments/mbssp-control/lps/2/082.lp,Unknown,2.3588624,,66088,648578,1818226
1813,SavileRow (BDD),./experiments/mbkp-control/lps/2/2_20.lp,Sat,24.648827,1.0353771,1976301,18591014,51979290
1814,SavileRow (GPW),./experiments/mbkp-control/lps/2/2_20.lp,Sat,3.2468045,0.18606436,111073,393385,995739
1814,SavileRow (GPW),./experiments/mbssp-control/lps/2/082.lp,Sat,1.0760267,50.847607,8148,29608,75542
1816,SavileRow (GMTO),./experiments/mbssp-control/lps/2/082.lp,Sat,1.1606106,41.436142,5030,17298,46495
1816,SavileRow (GMTO),./experiments/mbkp-control/lps/2/2_20.lp,Sat,5.8488827,1.5457126,62829,232426,631386
1817,Fun-sCOP (),./experiments/mbssp-control/lps/2/082.lp,Unknown,3.6496305,,127945,359537,1054526
1817,Fun-sCOP (),./experiments/mbkp-control/lps/2/2_20.lp,Sat,60.82801,9.4393215,5578420,15544773,45213179
1820,Picat-SAT,./experiments/mbssp-control/lps/2/082.lp,Sat,0.7263929,0.58722717,1560,12381,55331
1820,Picat-SAT,./experiments/mbkp-control/lps/2/2_20.lp,Sat,1.7192428,8.343292,41653,359081,1657402
1821,SavileRow (GT),./experiments/mbkp-control/lps/2/3_20.lp,Timeout,,,,,
1821,SavileRow (GT),./experiments/mbssp-control/lps/2/083.lp,Unknown,26.38447,,72569,18121351,54330460
1822,SavileRow (SWC),./experiments/mbssp-control/lps/2/083.lp,Unknown,2.721049,,287096,2910874,8185436
1822,SavileRow (SWC),./experiments/mbkp-control/lps/2/3_20.lp,Memory,,,,,
1823,SavileRow (BDD),./experiments/mbssp-control/lps/2/083.lp,Unknown,2.0126674,,85035,825897,2305856
